CandidateKey,CandidateID,FirstName,LastName,Email,Phone,AppliedPositionKey,AppliedDateKey,ResumeScore,Source,CurrentStatus
27,CAND000027,Alicia,Hunt,candidate27@example.com,+919000000027,27,20250131,44.17,JobBoard,Interviewing
28,CAND000028,Ashley,Cooper,candidate28@example.com,+919000000028,28,20240117,23.39,Referral,Interviewing
29,CAND000029,Barbara,Watson,candidate29@example.com,+919000000029,29,20231201,26.73,JobBoard,Interviewing
30,CAND000030,Adam,White,candidate30@example.com,+919000000030,30,20231012,45.04,Referral,Rejected
31,CAND000031,Cameron,Russell,candidate31@example.com,+919000000031,31,20250115,54.92,Referral,Interviewing
32,CAND000032,Thomas,Craig,candidate32@example.com,+919000000032,32,20240923,25.64,LinkedIn,Interviewing
33,CAND000033,Andrea,Stout,candidate33@example.com,+919000000033,33,20230417,62.69,JobBoard,Hired
34,CAND000034,Deborah,Valencia,candidate34@example.com,+919000000034,34,20230731,45.82,LinkedIn,Interviewing
35,CAND000035,Laura,Park,candidate35@example.com,+919000000035,35,20230705,52.49,Referral,Rejected
36,CAND000036,Linda,Collins,candidate36@example.com,+919000000036,36,20241230,43.03,Referral,Interviewing
37,CAND000037,Christine,Stewart,candidate37@example.com,+919000000037,37,20240210,67.23,Referral,Interviewing
38,CAND000038,Jacqueline,Watkins,candidate38@example.com,+919000000038,38,20250312,78.17,LinkedIn,Interviewing
39,CAND000039,Gabriel,Andrade,candidate39@example.com,+919000000039,39,20240731,58.51,Referral,NoShow
40,CAND000040,Gabriel,Harrell,candidate40@example.com,+919000000040,40,20241013,21.73,JobBoard,Rejected
41,CAND000041,Lisa,Moreno,candidate41@example.com,+919000000041,1,20241204,45.16,JobBoard,Interviewing
42,CAND000042,Dennis,Manning,candidate42@example.com,+919000000042,2,20241010,39.94,Referral,Interviewing
43,CAND000043,Teresa,Huang,candidate43@example.com,+919000000043,3,20241207,20.67,Referral,Interviewing
44,CAND000044,Kelly,Jones,candidate44@example.com,+919000000044,4,20250217,64.01,LinkedIn,Hired
45,CAND000045,Molly,Brooks,candidate45@example.com,+919000000045,5,20231020,22.33,Referral,Rejected
46,CAND000046,Isaiah,Mason,candidate46@example.com,+919000000046,6,20230830,52.32,JobBoard,Interviewing
47,CAND000047,Heather,Moore,candidate47@example.com,+919000000047,7,20250202,58.88,Referral,Interviewing
48,CAND000048,Erin,Newton,candidate48@example.com,+919000000048,8,20240415,37.43,JobBoard,Interviewing
49,CAND000049,Ellen,Collins,candidate49@example.com,+919000000049,9,20250115,69.56,Referral,Interviewing
50,CAND000050,Daniel,Mcmahon,candidate50@example.com,+919000000050,10,20231115,54.18,Referral,Rejected
51,CAND000051,Timothy,Campbell,candidate51@example.com,+919000000051,11,20250702,71.18,Referral,Interviewing
52,CAND000052,Mrs.,Levine,candidate52@example.com,+919000000052,12,20231024,75.47,JobBoard,NoShow
53,CAND000053,Leah,Flores,candidate53@example.com,+919000000053,13,20230706,30.19,LinkedIn,Interviewing
54,CAND000054,Danielle,Mcmahon,candidate54@example.com,+919000000054,14,20230730,70.91,JobBoard,Interviewing
55,CAND000055,John,Miller,candidate55@example.com,+919000000055,15,20241004,68.94,LinkedIn,Hired
56,CAND000056,Justin,Williams,candidate56@example.com,+919000000056,16,20230324,79.9,Referral,Interviewing
57,CAND000057,Anthony,Villegas,candidate57@example.com,+919000000057,17,20241023,32.93,JobBoard,Interviewing
58,CAND000058,James,Jones,candidate58@example.com,+919000000058,18,20250818,54.57,JobBoard,Interviewing
59,CAND000059,Stephanie,Davis,candidate59@example.com,+919000000059,19,20240717,21.58,LinkedIn,Interviewing
60,CAND000060,Debbie,Ray,candidate60@example.com,+919000000060,20,20240730,57.81,JobBoard,Rejected
61,CAND000061,Kenneth,Francis,candidate61@example.com,+919000000061,21,20250329,32.57,Referral,Interviewing
62,CAND000062,Maria,MD,candidate62@example.com,+919000000062,22,20241220,76.71,LinkedIn,Interviewing
63,CAND000063,Edward,Strickland,candidate63@example.com,+919000000063,23,20250519,37.24,Referral,Interviewing
64,CAND000064,Joshua,Soto,candidate64@example.com,+919000000064,24,20250610,21.86,LinkedIn,Interviewing
65,CAND000065,Micheal,Castro,candidate65@example.com,+919000000065,25,20240522,25.41,Referral,Rejected
66,CAND000066,Matthew,Gutierrez,candidate66@example.com,+919000000066,26,20250209,71.64,Referral,Hired
67,CAND000067,Tina,Campbell,candidate67@example.com,+919000000067,27,20241002,54.56,JobBoard,Interviewing
68,CAND000068,Timothy,Carpenter,candidate68@example.com,+919000000068,28,20230810,20.86,JobBoard,Interviewing
69,CAND000069,Phillip,Davis,candidate69@example.com,+919000000069,29,20240414,70.51,LinkedIn,Interviewing
70,CAND000070,Andrew,Jones,candidate70@example.com,+919000000070,30,20250314,79.35,Referral,Rejected
71,CAND000071,Robert,Brewer,candidate71@example.com,+919000000071,31,20240501,79.72,LinkedIn,Interviewing
72,CAND000072,Mrs.,Martinez,candidate72@example.com,+919000000072,32,20231209,61.67,LinkedIn,Interviewing
73,CAND000073,Karen,Martinez,candidate73@example.com,+919000000073,33,20231126,76.7,Referral,Interviewing
74,CAND000074,Matthew,Sanchez,candidate74@example.com,+919000000074,34,20231211,40.44,JobBoard,Interviewing
75,CAND000075,Antonio,Poole,candidate75@example.com,+919000000075,35,20250421,67.23,JobBoard,Rejected
76,CAND000076,Jeremiah,Rogers,candidate76@example.com,+919000000076,36,20250527,23.21,LinkedIn,Interviewing
77,CAND000077,Douglas,Berry,candidate77@example.com,+919000000077,37,20241008,34.7,Referral,Hired
78,CAND000078,Brian,Martinez,candidate78@example.com,+919000000078,38,20250311,62.94,Referral,NoShow
79,CAND000079,Thomas,Goodman,candidate79@example.com,+919000000079,39,20231216,46.71,LinkedIn,Interviewing
80,CAND000080,Lori,Zavala,candidate80@example.com,+919000000080,40,20230706,76.38,JobBoard,Rejected
81,CAND000081,Sheila,Roberson,candidate81@example.com,+919000000081,1,20230703,55.44,LinkedIn,Interviewing
82,CAND000082,Eugene,Cole,candidate82@example.com,+919000000082,2,20230626,63.56,LinkedIn,Interviewing
83,CAND000083,Brian,Robinson,candidate83@example.com,+919000000083,3,20250102,59.74,LinkedIn,Interviewing
84,CAND000084,Carrie,Delgado,candidate84@example.com,+919000000084,4,20230821,73.67,Referral,Interviewing
85,CAND000085,Susan,Griffin,candidate85@example.com,+919000000085,5,20241022,24.54,LinkedIn,Rejected
86,CAND000086,Joshua,Vincent,candidate86@example.com,+919000000086,6,20230408,65.25,LinkedIn,Interviewing
87,CAND000087,Gregory,Mullins,candidate87@example.com,+919000000087,7,20240325,30.75,Referral,Interviewing
88,CAND000088,Angela,Edwards,candidate88@example.com,+919000000088,8,20240315,67.19,LinkedIn,Hired
89,CAND000089,Jose,Hunt,candidate89@example.com,+919000000089,9,20240217,52.73,LinkedIn,Interviewing
90,CAND000090,Derek,Campos,candidate90@example.com,+919000000090,10,20250707,75.27,LinkedIn,Rejected
91,CAND000091,Keith,Dorsey,candidate91@example.com,+919000000091,11,20250124,24.81,Referral,NoShow
92,CAND000092,Jesse,Levy,candidate92@example.com,+919000000092,12,20250328,28.33,JobBoard,Interviewing
93,CAND000093,Michael,Warner,candidate93@example.com,+919000000093,13,20250124,52.61,JobBoard,Interviewing
94,CAND000094,Levi,Ryan,candidate94@example.com,+919000000094,14,20240131,79.91,JobBoard,Interviewing
95,CAND000095,Scott,Ortiz,candidate95@example.com,+919000000095,15,20250208,35.84,LinkedIn,Rejected
96,CAND000096,Leslie,Murphy,candidate96@example.com,+919000000096,16,20230607,28.03,Referral,Interviewing
97,CAND000097,Jacqueline,Bonilla,candidate97@example.com,+919000000097,17,20240414,73.61,Referral,Interviewing
98,CAND000098,David,Smith,candidate98@example.com,+919000000098,18,20250114,32.3,Referral,Interviewing
99,CAND000099,Monica,Wilkinson,candidate99@example.com,+919000000099,19,20250806,64.0,JobBoard,Hired
100,CAND000100,Patricia,Stewart,candidate100@example.com,+919000000100,20,20240512,77.31,JobBoard,Rejected
101,CAND000101,Justin,Oconnor,candidate101@example.com,+919000000101,21,20241121,40.41,LinkedIn,Interviewing
102,CAND000102,Lindsey,Sullivan,candidate102@example.com,+919000000102,22,20240204,53.75,JobBoard,Interviewing
103,CAND000103,Joshua,Charles,candidate103@example.com,+919000000103,23,20230605,77.37,LinkedIn,Interviewing
104,CAND000104,Michael,Gonzalez,candidate104@example.com,+919000000104,24,20250308,52.2,JobBoard,NoShow
105,CAND000105,Nicole,Herrera,candidate105@example.com,+919000000105,25,20250202,60.67,Referral,Rejected
106,CAND000106,Kevin,Swanson,candidate106@example.com,+919000000106,26,20230823,37.42,JobBoard,Interviewing
107,CAND000107,Susan,Smith,candidate107@example.com,+919000000107,27,20230526,63.57,JobBoard,Interviewing
108,CAND000108,Jessica,Green,candidate108@example.com,+919000000108,28,20250730,71.28,Referral,Interviewing
109,CAND000109,Andrea,DVM,candidate109@example.com,+919000000109,29,20241025,20.09,Referral,Interviewing
110,CAND000110,Mindy,Bentley,candidate110@example.com,+919000000110,30,20250519,77.4,Referral,Hired
111,CAND000111,Richard,Duran,candidate111@example.com,+919000000111,31,20250903,73.05,LinkedIn,Interviewing
112,CAND000112,Gabriel,Stein,candidate112@example.com,+919000000112,32,20240929,32.91,Referral,Interviewing
113,CAND000113,Jonathan,Sherman,candidate113@example.com,+919000000113,33,20230729,35.75,LinkedIn,Interviewing
114,CAND000114,Jose,Wright,candidate114@example.com,+919000000114,34,20230728,75.42,LinkedIn,Interviewing
115,CAND000115,Stacy,Robinson,candidate115@example.com,+919000000115,35,20231022,22.45,LinkedIn,Rejected
116,CAND000116,Justin,Valdez,candidate116@example.com,+919000000116,36,20250422,43.46,Referral,Interviewing
117,CAND000117,Jacqueline,Miller,candidate117@example.com,+919000000117,37,20240305,63.25,LinkedIn,NoShow
118,CAND000118,Chelsea,Wilson,candidate118@example.com,+919000000118,38,20240112,74.42,Referral,Interviewing
119,CAND000119,Ryan,Williamson,candidate119@example.com,+919000000119,39,20240212,22.86,Referral,Interviewing
120,CAND000120,Brandon,Merritt,candidate120@example.com,+919000000120,40,20240629,27.01,JobBoard,Rejected
121,CAND000121,Bryan,Jackson,candidate121@example.com,+919000000121,1,20250519,45.76,LinkedIn,Hired
122,CAND000122,Sarah,Bailey,candidate122@example.com,+919000000122,2,20230919,58.49,JobBoard,Interviewing
123,CAND000123,Jennifer,Wagner,candidate123@example.com,+919000000123,3,20250123,51.33,JobBoard,Interviewing
124,CAND000124,Jessica,Stewart,candidate124@example.com,+919000000124,4,20231114,39.92,JobBoard,Interviewing
125,CAND000125,Jacob,Adams,candidate125@example.com,+919000000125,5,20250331,62.42,LinkedIn,Rejected
126,CAND000126,Nancy,Burke,candidate126@example.com,+919000000126,6,20230711,24.09,Referral,Interviewing
127,CAND000127,Michael,Ramirez,candidate127@example.com,+919000000127,7,20240827,66.1,LinkedIn,Interviewing
128,CAND000128,Margaret,Williams,candidate128@example.com,+919000000128,8,20240831,50.84,LinkedIn,Interviewing
129,CAND000129,Sonya,Mclean,candidate129@example.com,+919000000129,9,20240502,69.34,LinkedIn,Interviewing
130,CAND000130,David,Hoover,candidate130@example.com,+919000000130,10,20240325,46.15,JobBoard,Rejected
131,CAND000131,Sarah,Hicks,candidate131@example.com,+919000000131,11,20240921,67.04,Referral,Interviewing
132,CAND000132,Kendra,Walker,candidate132@example.com,+919000000132,12,20250116,26.28,Referral,Hired
133,CAND000133,Wendy,Barnes,candidate133@example.com,+919000000133,13,20241119,29.95,Referral,Interviewing
134,CAND000134,Bonnie,Lowery,candidate134@example.com,+919000000134,14,20231214,30.67,Referral,Interviewing
135,CAND000135,John,Pacheco,candidate135@example.com,+919000000135,15,20250901,67.47,JobBoard,Rejected
136,CAND000136,Cassandra,Melendez,candidate136@example.com,+919000000136,16,20231114,58.72,JobBoard,Interviewing
137,CAND000137,Patricia,Jones,candidate137@example.com,+919000000137,17,20250329,70.57,LinkedIn,Interviewing
138,CAND000138,Samuel,Silva,candidate138@example.com,+919000000138,18,20240612,20.58,LinkedIn,Interviewing
139,CAND000139,Tamara,Morris,candidate139@example.com,+919000000139,19,20240124,50.77,Referral,Interviewing
140,CAND000140,Lisa,Jacobs,candidate140@example.com,+919000000140,20,20250419,62.51,Referral,Rejected
141,CAND000141,Justin,Velasquez,candidate141@example.com,+919000000141,21,20250120,73.88,LinkedIn,Interviewing
142,CAND000142,Morgan,Hall,candidate142@example.com,+919000000142,22,20240624,79.76,LinkedIn,Interviewing
143,CAND000143,Andrew,Martin,candidate143@example.com,+919000000143,23,20240527,38.74,LinkedIn,Hired
144,CAND000144,Susan,Hall,candidate144@example.com,+919000000144,24,20240203,56.32,Referral,Interviewing
145,CAND000145,Willie,Dodson,candidate145@example.com,+919000000145,25,20230730,22.68,JobBoard,Rejected
146,CAND000146,Peter,Kramer,candidate146@example.com,+919000000146,26,20240722,32.55,LinkedIn,Interviewing
147,CAND000147,Jorge,Burnett,candidate147@example.com,+919000000147,27,20250330,70.96,Referral,Interviewing
148,CAND000148,Joshua,Miller,candidate148@example.com,+919000000148,28,20250116,78.11,JobBoard,Interviewing
149,CAND000149,Terry,Miller,candidate149@example.com,+919000000149,29,20241103,68.66,JobBoard,Interviewing
150,CAND000150,Karen,Conner,candidate150@example.com,+919000000150,30,20240602,36.68,JobBoard,Rejected
151,CAND000151,Megan,Doyle,candidate151@example.com,+919000000151,31,20240222,64.06,JobBoard,Interviewing
152,CAND000152,Dale,Salazar,candidate152@example.com,+919000000152,32,20250210,39.83,JobBoard,Interviewing
153,CAND000153,Virginia,Walsh,candidate153@example.com,+919000000153,33,20230719,25.46,LinkedIn,Interviewing
154,CAND000154,Adam,Moody,candidate154@example.com,+919000000154,34,20231012,37.25,Referral,Hired
155,CAND000155,Latoya,Oneill,candidate155@example.com,+919000000155,35,20240107,47.96,JobBoard,Rejected
156,CAND000156,Daniel,Harvey,candidate156@example.com,+919000000156,36,20240403,66.53,JobBoard,NoShow
157,CAND000157,Timothy,Ibarra,candidate157@example.com,+919000000157,37,20230329,29.49,JobBoard,Interviewing
158,CAND000158,Jonathan,Turner,candidate158@example.com,+919000000158,38,20250215,74.52,JobBoard,Interviewing
159,CAND000159,Brandon,Ford,candidate159@example.com,+919000000159,39,20230826,47.19,JobBoard,Interviewing
160,CAND000160,Dr.,Bradford,candidate160@example.com,+919000000160,40,20230813,47.55,Referral,Rejected
161,CAND000161,Jessica,Hunter,candidate161@example.com,+919000000161,1,20240726,50.85,Referral,Interviewing
162,CAND000162,Betty,Rodriguez,candidate162@example.com,+919000000162,2,20240805,31.99,LinkedIn,Interviewing
163,CAND000163,Justin,Rodriguez,candidate163@example.com,+919000000163,3,20240328,54.82,JobBoard,Interviewing
164,CAND000164,Karen,Hunter,candidate164@example.com,+919000000164,4,20230628,33.14,Referral,Interviewing
165,CAND000165,Benjamin,Cardenas,candidate165@example.com,+919000000165,5,20250127,43.0,LinkedIn,Hired
166,CAND000166,Jordan,Williams,candidate166@example.com,+919000000166,6,20230402,58.36,JobBoard,Interviewing
167,CAND000167,Jeremy,Ray,candidate167@example.com,+919000000167,7,20230718,63.79,Referral,Interviewing
168,CAND000168,Sherry,Scott,candidate168@example.com,+919000000168,8,20250731,41.34,Referral,Interviewing
169,CAND000169,Andrew,Griffith,candidate169@example.com,+919000000169,9,20240705,40.87,JobBoard,NoShow
170,CAND000170,Robert,Johnson,candidate170@example.com,+919000000170,10,20240128,75.54,Referral,Rejected
171,CAND000171,Desiree,Beasley,candidate171@example.com,+919000000171,11,20241128,77.17,JobBoard,Interviewing
172,CAND000172,Todd,Robinson,candidate172@example.com,+919000000172,12,20250509,71.29,JobBoard,Interviewing
173,CAND000173,Maria,Williamson,candidate173@example.com,+919000000173,13,20230613,40.56,JobBoard,Interviewing
174,CAND000174,Kyle,Thomas,candidate174@example.com,+919000000174,14,20250116,45.02,Referral,Interviewing
175,CAND000175,Charles,Silva,candidate175@example.com,+919000000175,15,20250120,78.23,Referral,Rejected
176,CAND000176,Melissa,Huff,candidate176@example.com,+919000000176,16,20241210,59.06,LinkedIn,Hired
177,CAND000177,Steven,Cowan,candidate177@example.com,+919000000177,17,20230327,56.04,Referral,Interviewing
178,CAND000178,Mary,Conley,candidate178@example.com,+919000000178,18,20240625,51.06,JobBoard,Interviewing
179,CAND000179,Abigail,Ford,candidate179@example.com,+919000000179,19,20240420,36.91,JobBoard,Interviewing
180,CAND000180,Thomas,Cooper,candidate180@example.com,+919000000180,20,20240616,32.17,LinkedIn,Rejected
181,CAND000181,Brian,Ortiz,candidate181@example.com,+919000000181,21,20250104,75.37,LinkedIn,Interviewing
182,CAND000182,Miranda,Palmer,candidate182@example.com,+919000000182,22,20250816,46.93,Referral,NoShow
183,CAND000183,Krista,Wise,candidate183@example.com,+919000000183,23,20250429,22.08,Referral,Interviewing
184,CAND000184,Kayla,Orr,candidate184@example.com,+919000000184,24,20231020,26.42,JobBoard,Interviewing
185,CAND000185,Andrew,Maxwell,candidate185@example.com,+919000000185,25,20240712,68.91,JobBoard,Rejected
186,CAND000186,Jeremy,Jones,candidate186@example.com,+919000000186,26,20231224,45.41,LinkedIn,Interviewing
187,CAND000187,Bradley,Davis,candidate187@example.com,+919000000187,27,20240601,64.6,Referral,Hired
188,CAND000188,Kirk,Scott,candidate188@example.com,+919000000188,28,20230803,73.44,JobBoard,Interviewing
189,CAND000189,David,Sanchez,candidate189@example.com,+919000000189,29,20230916,42.92,Referral,Interviewing
190,CAND000190,Jake,Fernandez,candidate190@example.com,+919000000190,30,20230726,51.05,Referral,Rejected
191,CAND000191,Rodney,Carroll,candidate191@example.com,+919000000191,31,20250704,22.23,JobBoard,Interviewing
192,CAND000192,Madison,Wilkinson,candidate192@example.com,+919000000192,32,20240611,74.55,JobBoard,Interviewing
193,CAND000193,Katherine,Black,candidate193@example.com,+919000000193,33,20250718,59.65,JobBoard,Interviewing
194,CAND000194,Jessica,Brewer,candidate194@example.com,+919000000194,34,20250317,22.76,Referral,Interviewing
195,CAND000195,Matthew,Jones,candidate195@example.com,+919000000195,35,20241105,60.13,Referral,Rejected
196,CAND000196,Melissa,Chen,candidate196@example.com,+919000000196,36,20240819,53.34,Referral,Interviewing
197,CAND000197,Jennifer,Wells,candidate197@example.com,+919000000197,37,20250603,71.0,Referral,Interviewing
198,CAND000198,Michael,Carey,candidate198@example.com,+919000000198,38,20250107,36.9,LinkedIn,Hired
199,CAND000199,Miss,Martin,candidate199@example.com,+919000000199,39,20230612,23.79,JobBoard,Interviewing
200,CAND000200,Mathew,Houston,candidate200@example.com,+919000000200,40,20240324,46.81,LinkedIn,Rejected
201,CAND000201,Linda,Serrano,candidate201@example.com,+919000000201,1,20240124,20.62,JobBoard,Interviewing
202,CAND000202,Colleen,MD,candidate202@example.com,+919000000202,2,20240322,70.07,LinkedIn,Interviewing
203,CAND000203,Joshua,Foster,candidate203@example.com,+919000000203,3,20250324,44.35,Referral,Interviewing
204,CAND000204,Justin,Hodges,candidate204@example.com,+919000000204,4,20230518,41.57,Referral,Interviewing
205,CAND000205,Anthony,Cordova,candidate205@example.com,+919000000205,5,20230829,42.86,LinkedIn,Rejected
206,CAND000206,Lisa,Johnson,candidate206@example.com,+919000000206,6,20241213,71.02,Referral,Interviewing
207,CAND000207,Michael,Jordan,candidate207@example.com,+919000000207,7,20240428,43.59,JobBoard,Interviewing
208,CAND000208,Thomas,Hernandez,candidate208@example.com,+919000000208,8,20250204,68.47,Referral,NoShow
209,CAND000209,Christopher,Powers,candidate209@example.com,+919000000209,9,20231027,47.75,JobBoard,Hired
210,CAND000210,Lisa,Owens,candidate210@example.com,+919000000210,10,20240910,66.56,Referral,Rejected
211,CAND000211,Jamie,DDS,candidate211@example.com,+919000000211,11,20240401,31.09,LinkedIn,Interviewing
212,CAND000212,Patricia,Cobb,candidate212@example.com,+919000000212,12,20240803,34.61,Referral,Interviewing
213,CAND000213,Mrs.,Sanchez,candidate213@example.com,+919000000213,13,20230328,64.15,Referral,Interviewing
214,CAND000214,Edward,Monroe,candidate214@example.com,+919000000214,14,20230406,69.76,JobBoard,Interviewing
215,CAND000215,James,Todd,candidate215@example.com,+919000000215,15,20250308,76.57,Referral,Rejected
216,CAND000216,Rachel,Williams,candidate216@example.com,+919000000216,16,20250220,54.8,LinkedIn,Interviewing
217,CAND000217,Ross,Maddox,candidate217@example.com,+919000000217,17,20250325,30.58,Referral,Interviewing
218,CAND000218,Rita,Martin,candidate218@example.com,+919000000218,18,20240928,64.86,JobBoard,Interviewing
219,CAND000219,Kristin,Ramirez,candidate219@example.com,+919000000219,19,20231125,48.46,Referral,Interviewing
220,CAND000220,Christopher,Bailey,candidate220@example.com,+919000000220,20,20241217,55.78,LinkedIn,Hired
221,CAND000221,Tiffany,Esparza,candidate221@example.com,+919000000221,21,20250413,32.0,LinkedIn,NoShow
222,CAND000222,Larry,Anderson,candidate222@example.com,+919000000222,22,20231222,25.2,Referral,Interviewing
223,CAND000223,Christine,Williams,candidate223@example.com,+919000000223,23,20250521,25.24,Referral,Interviewing
224,CAND000224,Deanna,Mcclure,candidate224@example.com,+919000000224,24,20230814,43.72,Referral,Interviewing
225,CAND000225,Douglas,Andrews,candidate225@example.com,+919000000225,25,20241005,44.08,JobBoard,Rejected
226,CAND000226,Samuel,Day,candidate226@example.com,+919000000226,26,20240205,24.46,JobBoard,Interviewing
227,CAND000227,Kevin,Lewis,candidate227@example.com,+919000000227,27,20231225,27.02,LinkedIn,Interviewing
228,CAND000228,Kristopher,Torres,candidate228@example.com,+919000000228,28,20240131,30.25,JobBoard,Interviewing
229,CAND000229,Daniel,Gibson,candidate229@example.com,+919000000229,29,20230404,25.52,LinkedIn,Interviewing
230,CAND000230,Sean,Navarro,candidate230@example.com,+919000000230,30,20231009,75.25,JobBoard,Rejected
231,CAND000231,Melissa,Bryant,candidate231@example.com,+919000000231,31,20231221,24.73,Referral,Hired
232,CAND000232,Ashley,Prince,candidate232@example.com,+919000000232,32,20230912,41.38,LinkedIn,Interviewing
233,CAND000233,Kimberly,Osborn,candidate233@example.com,+919000000233,33,20231107,58.72,JobBoard,Interviewing
234,CAND000234,Christopher,Medina,candidate234@example.com,+919000000234,34,20240413,76.53,LinkedIn,NoShow
235,CAND000235,Robin,Ali,candidate235@example.com,+919000000235,35,20230801,54.57,JobBoard,Rejected
236,CAND000236,Angela,Miller,candidate236@example.com,+919000000236,36,20250720,52.58,JobBoard,Interviewing
237,CAND000237,Amber,Morris,candidate237@example.com,+919000000237,37,20240419,22.58,JobBoard,Interviewing
238,CAND000238,Alexandra,Lane,candidate238@example.com,+919000000238,38,20250227,36.8,Referral,Interviewing
239,CAND000239,Rebecca,Jensen,candidate239@example.com,+919000000239,39,20240613,25.7,Referral,Interviewing
240,CAND000240,John,Owen,candidate240@example.com,+919000000240,40,20230718,53.1,Referral,Rejected
241,CAND000241,Alejandra,Smith,candidate241@example.com,+919000000241,1,20250707,72.18,Referral,Interviewing
242,CAND000242,Steven,Weiss,candidate242@example.com,+919000000242,2,20250809,35.86,JobBoard,Hired
243,CAND000243,Alison,Yu,candidate243@example.com,+919000000243,3,20250410,72.0,JobBoard,Interviewing
244,CAND000244,James,Gill,candidate244@example.com,+919000000244,4,20230922,35.23,Referral,Interviewing
245,CAND000245,Benjamin,Lewis,candidate245@example.com,+919000000245,5,20240903,43.83,Referral,Rejected
246,CAND000246,James,Barr,candidate246@example.com,+919000000246,6,20230803,22.86,LinkedIn,Interviewing
247,CAND000247,Angela,Williams,candidate247@example.com,+919000000247,7,20230430,75.84,LinkedIn,NoShow
248,CAND000248,Donald,Lewis,candidate248@example.com,+919000000248,8,20250403,51.64,JobBoard,Interviewing
249,CAND000249,Paula,Tate,candidate249@example.com,+919000000249,9,20240124,53.35,Referral,Interviewing
250,CAND000250,Timothy,Morrow,candidate250@example.com,+919000000250,10,20230905,34.24,Referral,Rejected
251,CAND000251,Nicholas,Kaufman,candidate251@example.com,+919000000251,11,20230722,65.47,JobBoard,Interviewing
252,CAND000252,Daniel,Miller,candidate252@example.com,+919000000252,12,20250827,62.21,Referral,Interviewing
253,CAND000253,Patricia,Bridges,candidate253@example.com,+919000000253,13,20240727,75.75,Referral,Hired
254,CAND000254,Tiffany,Nelson,candidate254@example.com,+919000000254,14,20240914,43.11,Referral,Interviewing
255,CAND000255,Andrea,Anderson,candidate255@example.com,+919000000255,15,20240804,44.81,Referral,Rejected
256,CAND000256,Joshua,Simmons,candidate256@example.com,+919000000256,16,20250421,44.12,LinkedIn,Interviewing
257,CAND000257,Stephen,Rogers,candidate257@example.com,+919000000257,17,20240118,74.77,LinkedIn,Interviewing
258,CAND000258,Natalie,Pruitt,candidate258@example.com,+919000000258,18,20230921,50.08,JobBoard,Interviewing
259,CAND000259,Tammy,Dougherty,candidate259@example.com,+919000000259,19,20230707,55.99,Referral,Interviewing
